,Index,Expression,Expression_sym,Number_of_nodes,Number_of_parameters,Parameters,Parameters_opt,MSE_train_orig,MSE_test_orig,MSE_train_opt,MSE_test_opt,MSE_test_opt_noisy,AIC,AICc,BIC,MDL,NegLogLikelihood_train_opt,NegLogLikelihood_train_orig,NegLogLikelihood_test_opt,NegLogLikelihood_test_orig,LogFunctional,LogParameters,Fisher,Err_in,optimism,err_app
0,0,"(x2 - 1*5.006089945699242)*(protected_pow(sin(x2*0.0034719438726578157 - (x1 + 25.149320514085318)), 1.9250064673598164)*cos(x1) - 1*1.0527026714681729)*protected_exp(x1*(-1.059494314204641))*protected_pow(x1, 3.1309784470652375)*sin(x1)*cos(x1)","(t7 + protected_pow(sin(t1*(t5 + x1) + t4*x2), t6)*cos(x1))*(t8 + x2)*protected_exp(t2*x1)*protected_pow(x1, t3)*sin(x1)*cos(x1)",31,8,"[-1.0, -1.059494314204641, 3.1309784470652375, 0.0034719438726578157, 25.149320514085318, 1.9250064673598164, -1.0527026714681729, -5.006089945699242]","[-0.9898919485347663, -1.067103170809161, 3.144706702151562, 0.0038538509236532873, 19.099423086121234, 1.935301023679189, -1.0701754346208177, -5.006831128182809]",0.007485348973903342,0.000513477854043915,0.007473675427160773,0.0005502497108225296,0.008701514369148029,-187.3052290025522,-185.3052290025522,-163.8586973286594,1.2431883638800727,-102.6526145012761,-102.58238147764136,-14430.688913537966,-14452.81242700974,68.11396189742281,35.781840967733366,"[1.30209787e+06 1.20761712e+05 1.42838417e+04 1.11229610e+05
 2.49326604e+03 8.41851033e+01 6.54293331e+03 1.47866785e+03
 5.78139009e+05]",0.3154083147605711,0.3079346393313284,0.0074736754292426336
1,1,"(x2 - 1*4.995134591937265)*(-protected_pow(sin(1.5708039190837335), protected_exp(-2.792503474493643)) + protected_pow(sin(x1), 1.918379855402133)*cos(x1))*protected_exp(x1*(-1.0546646302379277))*protected_pow(x1, 3.15466024855354)*sin(x1)*cos(x1)","(t7 + x2)*(t1*protected_pow(sin(t5), protected_exp(t6)) + protected_pow(sin(x1), t4)*cos(x1))*protected_exp(t2*x1)*protected_pow(x1, t3)*sin(x1)*cos(x1)",29,7,"[-1.0, -1.0546646302379277, 3.15466024855354, 1.918379855402133, 1.5708039190837335, -2.792503474493643, -4.995134591937265]","[-1.149531502930359, -1.064755290568262, 3.149448620290881, 1.9173331658388328, 3.1429728342867596, -4.290408706263793, -5.004236084433934]",0.007619093743414008,0.0003113406803697541,0.007517766250601988,0.0005030042455205576,0.00866739458270721,-188.7746906986227,-187.19227311620512,-167.93332921071794,-5.345735103019166,-102.38734534931135,-101.7777160434582,-14459.113795489979,-14574.426750481362,63.71951274275037,33.32209750354181,"[5.61902880e+03 1.20831913e+05 1.42918566e+04 8.98126018e+01
 7.31509346e+05 6.04245542e+01 1.48486379e+03 5.85820686e+05]",0.13476892665207696,0.1272511604014612,0.007517766250615756
2,2,"(x2 - 1*5.0042359331967035)*(protected_pow(sin(x1), protected_sqrt(protected_sqrt(protected_sqrt(protected_pow(protected_pow(-18.016500744702793, -4.67364155439588) - 3.557823884626351*1.772089307082885, protected_exp(-1.4298015272778066 - 1*(-2.469427542933107)))))))*cos(x1) - 1*1.050364657533371)*protected_exp(x1*(-1.0647569099169734))*protected_pow(x1, 3.149453217514267)*sin(x1)*cos(x1)","(t10 + x2)*(t9 + protected_pow(sin(x1), protected_sqrt(protected_sqrt(protected_sqrt(protected_pow(t3*t4 + protected_pow(t5, t6), protected_exp(t7 + t8))))))*cos(x1))*protected_exp(t1*x1)*protected_pow(x1, t2)*sin(x1)*cos(x1)",41,10,"[-1.0647569099169734, 3.149453217514267, -3.557823884626351, 1.772089307082885, -18.016500744702793, -4.67364155439588, -1.4298015272778066, 2.469427542933107, -1.050364657533371, -5.0042359331967035]","[-1.0647570749312543, 3.149453728818803, -3.5578238184742568, 1.772089206900368, -18.01650074199048, -4.673641559052921, -1.4298018330555857, 2.469427237155328, -1.0503646029222489, -5.004235934531585]",0.0075177662506555,0.0005030057421771472,0.007517766250641692,0.0005030085830019112,0.008667399072987272,-182.77469069814492,-179.77469069814492,-154.1178186522759,21.33459453922359,-102.38734534907246,-102.38734534898938,-14459.11118587666,-14459.112895037699,94.40598881275588,29.315951075540173,"[1.20831800e+05 1.42919419e+04 3.35376171e+00 1.31876732e+01
 5.68434189e-02 5.68434189e-02 1.39891654e+02 1.39891654e+02
 6.73009026e+03 1.48486379e+03 5.85820658e+05]",0.12604869330460974,0.11853092705399686,0.00751776625061288
3,3,"(x2 - 1*4.991179593125918)*(protected_pow(sin(x1), 1.5066269219798953)*cos(x1) - cos(sin(protected_sqrt(protected_pow((-(x2 - 32.27588951085705) + protected_exp(x1) + cos(protected_div(-3.2080314170256194, 7.140319006550702)))*protected_div(protected_exp(120.68007796985398), protected_exp(-21.958461927069035))*protected_sqrt(107.61928123779768)*cos(x2), sin((-protected_exp(-47.730661251425865) + protected_exp(-0.7432746233381646))*(-protected_pow(-0.04834529154765462, -0.5745241246670697) + cos(x1))))))))*protected_exp(x1*(-0.9779365746389973))*protected_pow(x1, 2.9231488619561214)*sin(x1)*cos(x1)","(t18 + x2)*(t4*cos(sin(protected_sqrt(protected_pow((t1*(t8 + x2) + protected_exp(x1) + cos(protected_div(t9, t10)))*protected_div(protected_exp(t11), protected_exp(t12))*protected_sqrt(t13)*cos(x2), sin((t2*protected_pow(t14, t15) + cos(x1))*(t3*protected_exp(t17) + protected_exp(t16))))))) + protected_pow(sin(x1), t7)*cos(x1))*protected_exp(t5*x1)*protected_pow(x1, t6)*sin(x1)*cos(x1)",63,18,"[-1.0, -1.0, -1.0, -1.0, -0.9779365746389973, 2.9231488619561214, 1.5066269219798953, -32.27588951085705, -3.2080314170256194, 7.140319006550702, 120.68007796985398, -21.958461927069035, 107.61928123779768, -0.04834529154765462, -0.5745241246670697, -0.7432746233381646, -47.730661251425865, -4.991179593125918]","[-1.0961140722010247, -1.0268741221792483, -1.0, -1.0911271019457125, -1.0125962503306463, 2.965342370631372, 1.5229820725915668, -32.294200306640505, -3.206967146313135, 7.140813759706843, 120.68007796985398, -21.958461927069035, 107.61997059519896, -0.04976599062849856, -0.5720256672690315, -0.7453492483199363, -47.730661251425865, -5.0083060782361954]",0.007255468728380709,0.007939415120846074,0.006920887545095062,0.0081906236739544,0.016297439319162454,-173.9568431592931,-164.4568431592931,-124.45860962551936,97.98215414521667,-105.97842157964655,-103.96543883570013,-9833.914882778641,-9985.052635826481,151.06740218629736,52.89317353856586,"[5.68434189e-02 1.10853581e+07 0.00000000e+00 6.00471139e+03
 1.20243953e+05 1.42383101e+04 1.18120624e+02 0.00000000e+00
 0.00000000e+00 2.84217094e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.54436723e+09 1.05232576e+08 1.59424686e+07
 0.00000000e+00 1.50293999e+03 4.81830654e+05]",0.1547294457503078,0.14780855820521274,0.00692088754509506
4,4,"(x2 - 1*4.995352850580634)*(protected_pow(sin(x1), protected_sqrt(protected_pow((-cos(protected_exp(protected_sqrt(sin(cos(-10.404441675664547))))) + cos(protected_pow((sin(-3.327738024718734) - (-1)*1.2020098083328907*5.838075183856306)*protected_exp(protected_sqrt(x2)), protected_pow(protected_pow(x2 - 1*3.2979261114499536, protected_exp(x2)), protected_pow(protected_exp(7.861198248721145), protected_div(-1.9885249844645578, -2.534236726476829))))))*protected_sqrt(protected_div(protected_exp(-x1 + x2 - protected_div(20.88140184456042, 2.2195843437949256)) + sin(protected_pow(sin(-6.985696312439328), 0.4796911665946125*(-5.358105633791321))), sin(cos(cos(cos(2.0349112907692923)))))), cos(-protected_sqrt(protected_exp(protected_exp(-sin(7.069391745835716) - 2.4211997651003303*(-9.168078612257585)))) + sin(protected_exp(protected_sqrt(-protected_div(4.107661100009965, x2) + protected_sqrt(-8.789768773177059))))))))*cos(x1) - 1*0.9996535533654659)*protected_exp(x1*(-1.0602977104133966))*protected_pow(x1, 3.169763707597535)*sin(x1)*cos(x1)","(t29 + protected_pow(sin(x1), protected_sqrt(protected_pow((t2*cos(protected_exp(protected_sqrt(sin(cos(t17))))) + cos(protected_pow((t1*(t11*t12) + sin(t10))*protected_exp(protected_sqrt(x2)), protected_pow(protected_pow(t13 + x2, protected_exp(x2)), protected_pow(protected_exp(t14), protected_div(t15, t16))))))*protected_sqrt(protected_div(protected_exp(t3*x1 + t4*protected_div(t18, t19) + x2) + sin(protected_pow(sin(t20), t21*t22)), sin(cos(cos(cos(t23)))))), cos(t7*protected_sqrt(protected_exp(protected_exp(t26*t27 + t6*sin(t28)))) + sin(protected_exp(protected_sqrt(t5*protected_div(t25, x2) + protected_sqrt(t24))))))))*cos(x1))*(t30 + x2)*protected_exp(t8*x1)*protected_pow(x1, t9)*sin(x1)*cos(x1)",106,30,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0602977104133966, 3.169763707597535, -3.327738024718734, -1.2020098083328907, 5.838075183856306, -3.2979261114499536, 7.861198248721145, -1.9885249844645578, -2.534236726476829, -10.404441675664547, 20.881401844560422, 2.2195843437949256, -6.985696312439328, 0.47969116659461253, -5.358105633791321, 2.0349112907692923, -8.789768773177059, 4.107661100009965, -2.4211997651003303, -9.168078612257585, 7.069391745835716, -0.9996535533654659, -4.995352850580634]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0602977104133966, 3.169763707597535, -3.327738024718734, -1.2020098083328907, 5.838075183856306, -3.2979261114499536, 7.861198248721145, -1.9885249844645578, -2.534236726476829, -10.404441675664547, 20.881401844560422, 2.2195843437949256, -6.985696312439328, 0.47969116659461253, -5.358105633791321, 2.0349112907692923, -8.789768773177059, 4.107661100009965, -2.4211997651003303, -9.168078612257585, 7.069391745835716, -0.9996535533654659, -4.995352850580634]",0.007133964503470774,0.0005084724133774026,0.007133964503470774,0.0005084724133774028,0.008633209905575982,-147.39291989181686,-118.21644930358157,-66.63264412618602,215.13842505883053,-104.69645994590843,-104.69645994590843,-14455.8239130678,-14455.8239130678,254.1768989166273,65.65798608811167,"[0.00000000e+00 5.09317033e+01 9.83391146e+00 1.62515335e+02
 0.00000000e+00 0.00000000e+00 1.22996224e+14 1.20942047e+05
 1.42826480e+04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.72633463e+02 3.97903932e-01 3.29691829e+01 2.32702121e+05
 1.38254450e+05 1.10813403e+03 3.18323146e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.29880867e+03 1.48651225e+03 5.18953527e+05]",0.1052120217652959,0.09807805726182513,0.007133964503470774
5,5,"(x2 - 1*5.0097748304049805)*(protected_pow(sin(x1), protected_sqrt(protected_div(protected_exp(sin(2.4633879245088908)), protected_div(x2 - 0.2397911093504478, -1.9070982337807523*x2))))*cos(x1) - 1*1.020824388367667)*protected_exp(x1*(-1.0798261787731194))*protected_pow(x1, 3.2204815227227157)*sin(x1)*cos(x1)","(t6 + protected_pow(sin(x1), protected_sqrt(protected_div(protected_exp(sin(t3)), protected_div(t4 + x2, t5*x2))))*cos(x1))*(t7 + x2)*protected_exp(t1*x1)*protected_pow(x1, t2)*sin(x1)*cos(x1)",35,7,"[-1.0798261787731194, 3.2204815227227157, 2.4633879245088908, -0.2397911093504478, -1.9070982337807523, -1.020824388367667, -5.0097748304049805]","[-1.0798246358990802, 3.2204768685719105, -1.1292894893223606, -0.23979025024263953, -8.820539894217557, -1.0208247171920604, -5.009774356067414]",0.007381423421099783,0.0020359370368906115,0.0073814234208479336,0.0020359303069018408,0.010047707753456193,-190.41528363849176,-188.83286605607418,-169.573922150587,4.103438561879784,-103.20764181924588,-103.20764181773063,-13536.840259661214,-13536.836210613646,83.92633454794297,23.38474583318269,"[1.20999402e+05 1.42983083e+04 1.65982783e+01 1.09622533e+02
 1.19371180e+00 7.17992066e+03 1.49518087e+03 5.62066617e+05]",0.1599151253050467,0.15253370188414067,0.0073814234209060355
6,6,"(x2 - 1*5.032139676428524)*(protected_pow(sin(x1), protected_exp(protected_div(protected_exp(-protected_exp(-protected_div(35.48807805982373, 2.433682066256772) + sin(48.75153091931084)) + protected_pow(protected_div(-0.3644106896505392, 1.6536347905831303), protected_div(x2, 23.439974944160287)) + cos(protected_div(3.4890296255592856, -0.014423285766405813))), protected_div(protected_div(protected_pow(cos(protected_div(x2, -0.03695305528234505)), protected_pow(protected_exp(2.494973008619137), -1.026270332795638 - 1*(-25.48977426947641))), protected_exp(protected_exp(protected_sqrt(x1)))), -protected_div(protected_sqrt(1.2779021343147736) + cos(-0.06111929763251289), cos(-1.4163908385244715 - 0.7401629071397342)) + protected_pow(protected_div(protected_div(-25.429479021066317, -1.5525073894541375), -2.7148407437859907 - 1*(-0.15812537458257633)), protected_sqrt(protected_div(0.19518063764898802, 5.401205655513303)))))))*cos(x1) - 1*1.0209285300431241)*protected_exp(x1*(-1.1183406502552977))*protected_pow(x1, 3.338433796325313)*sin(x1)*cos(x1)","(t28 + protected_pow(sin(x1), protected_exp(protected_div(protected_exp(t2*protected_exp(t1*protected_div(t12, t13) + sin(t11)) + protected_pow(protected_div(t8, t9), protected_div(x2, t10)) + cos(protected_div(t6, t7))), protected_div(protected_div(protected_pow(cos(protected_div(x2, t14)), protected_pow(protected_exp(t15), t16 + t17)), protected_exp(protected_exp(protected_sqrt(x1)))), t3*protected_div(protected_sqrt(t24) + cos(t25), cos(t26 + t27)) + protected_pow(protected_div(protected_div(t18, t19), t20 + t21), protected_sqrt(protected_div(t22, t23)))))))*cos(x1))*(t29 + x2)*protected_exp(t4*x1)*protected_pow(x1, t5)*sin(x1)*cos(x1)",92,29,"[-1.0, -1.0, -1.0, -1.1183406502552977, 3.338433796325313, 3.4890296255592856, -0.014423285766405813, -0.3644106896505392, 1.6536347905831303, 23.439974944160287, 48.75153091931084, 35.48807805982373, 2.433682066256772, -0.03695305528234505, 2.494973008619137, -1.026270332795638, 25.48977426947641, -25.429479021066317, -1.5525073894541375, -2.7148407437859907, 0.15812537458257633, 0.19518063764898802, 5.401205655513303, 1.2779021343147736, -0.06111929763251289, -0.7401629071397342, -1.4163908385244715, -1.0209285300431241, -5.032139676428524]","[-0.6980314091187553, -2.9403531266055674, -1.4895706470306715, -1.0795852585233716, 3.2106974809588733, 17.255808096262495, 8.993415084061267, -3.8225885072038857, 14.191187943184609, 29.049368899523383, 46.00658711200712, 33.09433787976589, 10.660503422652924, -1.1943688454977788, 0.5141365376965028, -1.0645941684930105, 26.308540240325225, -24.32270450244199, -1.1377229273748963, -3.6782370849845596, -1.7739397839373832, -1.561688061752514, 4.1322230782588045, 0.38904243627909896, -0.22086779562409953, -1.7543271252667025, -1.07741494485621, -1.0309857648417848, -5.023426855737922]",0.007417404316462324,0.0008691753149766532,0.007364663218193373,0.0007047022854803303,0.008925246726895054,-146.61695665786098,-119.66043491873054,-68.46185107821822,157.69232010269167,-103.30847832893049,-102.99116544340117,-14337.763673543579,-14238.809701604869,220.6063650974501,40.394433334172064,"[1.13897158e+03 1.36708422e+01 0.00000000e+00 1.20924398e+05
 1.42938177e+04 1.87583282e+00 6.93489710e+00 1.70530257e-01
 0.00000000e+00 0.00000000e+00 2.26521024e+01 4.83169060e-01
 4.88853402e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 7.03070668e+03
 1.47926471e+03 5.59146571e+05]",0.1500744686843033,0.1427098054660812,0.007364663218222092
7,7,"(x2 - 1*5.004235730626927)*(protected_pow(sin(x1), -protected_exp(-28.00877459880244) + protected_sqrt(-3.67620125738963))*cos(x1) - 1*1.0503642574740362)*protected_exp(x1*(-1.0647573142695033))*protected_pow(x1, 3.1494547557890993)*sin(x1)*cos(x1)","(t6 + protected_pow(sin(x1), t1*protected_exp(t5) + protected_sqrt(t4))*cos(x1))*(t7 + x2)*protected_exp(t2*x1)*protected_pow(x1, t3)*sin(x1)*cos(x1)",30,7,"[-1.0, -1.0647573142695033, 3.1494547557890993, -3.67620125738963, -28.00877459880244, -1.0503642574740362, -5.004235730626927]","[-2.0893426377121065, -1.0647550019444205, 3.1494474322992594, -3.6761696263219945, -28.815284227828023, -1.0503646017102322, -5.004235888884349]",0.00751776625070027,0.0005030037967243744,0.007517766250563864,0.0005030017506615826,0.008667391439711446,-188.77469069908142,-187.19227311666384,-167.93332921117667,-10.985675519054766,-102.38734534954071,-102.38734534872003,-14459.11529650328,-14459.114065504855,69.07755278982138,22.32411704066456,"[0.00000000e+00 1.20831743e+05 1.42918850e+04 6.11066753e+00
 0.00000000e+00 6.73009026e+03 1.48486379e+03 5.85820658e+05]",0.13146627568786176,0.12394850943726031,0.0075177662506014506
8,8,"(x2 - 1*5.017100819503397)*(-protected_exp(protected_exp(protected_div(x1, x1) + cos(protected_div(12.186757664900824, x1)) - 0.3542301172289284*12.341250353094969)) + protected_pow(sin(x1), 1.986025706769512)*cos(x1))*protected_exp(x1*(-1.063422744324427))*protected_pow(x1, 3.163416868977278)*sin(x1)*cos(x1)","(t8 + x2)*(t1*protected_exp(protected_exp(t5*t6 + protected_div(x1, x1) + cos(protected_div(t7, x1)))) + protected_pow(sin(x1), t4)*cos(x1))*protected_exp(t2*x1)*protected_pow(x1, t3)*sin(x1)*cos(x1)",35,8,"[-1.0, -1.063422744324427, 3.163416868977278, 1.986025706769512, -0.3542301172289284, 12.341250353094969, 12.186757664900824, -5.017100819503397]","[-0.9371155598278259, -1.0587084908302296, 3.1882096469235477, 2.040975485107634, -0.3588546215856534, 11.096240901817918, 12.254723459840038, -5.015695508512016]",0.007173528473603533,0.0008349765865390017,0.007093562247524083,0.0008319223663437775,0.009029778236212047,-191.87907421310015,-189.87907421310015,-168.43254253920733,6.091099578097424,-104.93953710655008,-104.45842626936644,-14261.222660403893,-14259.385111594715,80.5904782547916,30.440158429855895,"[8.48714876e+03 1.20369833e+05 1.42191254e+04 8.73114914e+01
 3.22447136e+03 3.38218342e+00 2.95585778e+00 1.50205892e+03
 5.11914550e+05]",0.18038027466544715,0.1732867124178856,0.007093562247561556
9,9,"(x2 - 1*5.0050377079326775)*(protected_pow(sin(x1), protected_sqrt(protected_exp(protected_div(protected_div(sin(-1*2.2230781772900023 - 1.779674816968419), protected_sqrt(protected_pow(x1, -0.8675677176499399))), protected_sqrt(protected_div(sin(1.0310080107283812), sin(x1)))))))*cos(x1) - 1*0.9961277388379648)*protected_exp(x1*(-1.0040522437789299))*protected_pow(x1, 2.994001927181419)*sin(x1)*cos(x1)","(t7 + protected_pow(sin(x1), protected_sqrt(protected_exp(protected_div(protected_div(sin(t3 + t4), protected_sqrt(protected_pow(x1, t5))), protected_sqrt(protected_div(sin(t6), sin(x1)))))))*cos(x1))*(t8 + x2)*protected_exp(t1*x1)*protected_pow(x1, t2)*sin(x1)*cos(x1)",42,8,"[-1.0040522437789299, 2.994001927181419, -1.7796748169684191, -2.2230781772900023, -0.8675677176499399, 1.0310080107283812, -0.9961277388379648, -5.0050377079326775]","[-1.004052515863434, 2.9940020820616664, -1.7796749477556681, -2.2230783080772514, -0.8675678137588041, 1.031007969931005, -0.9961285523078242, -5.005037930997777]",0.007788337709513687,0.000733971798867606,0.007788337709479157,0.0007339755749338138,0.008894166664023134,-183.51894467982072,-181.51894467982072,-160.0724130059279,26.521629437649885,-100.75947233991036,-100.75947233970263,-14320.151617196077,-14320.153889038158,100.71160145753157,26.569500320028673,"[1.21359847e+05 1.43079433e+04 8.35029823e+01 8.35029823e+01
 5.31485966e+01 1.02033937e+01 7.15121473e+03 1.47474566e+03
 6.32960450e+05]",0.1496387477953532,0.14185041008587404,0.00778833770947916
